stageNumber,time,latitudeDegs,longitudeDegs,altitudeKm,elevationDegs,azimuthDegs,rangeKm
2,0.01,34.63203086236217,-120.6106050084114,0.1651168166603893,0.32205429398255975,209.34293841292123,30.79335114046612
2,0.2,34.632031093554,-120.61056348463353,0.16507968268264087,0.3220216698701522,209.33677993584672,30.791468276236404
2,0.4,34.63203183525492,-120.61056348463353,0.16513651306461544,0.3221283311520484,209.33685473156962,30.79139692141498
2,0.6,34.63203139436431,-120.61056292932822,0.1652073288122192,0.32226003816894405,209.33672759516787,30.79141526985064
2,0.8,34.632031875213514,-120.61056386790327,0.16530605713743718,0.322443519515322,209.33691582339452,30.791411530829766
2,1,34.63203143432291,-120.61056331259793,0.16537687288504094,0.32257522628723856,209.3367886870087,30.79142987958166
2,1.2,34.63203177509178,-120.61056314056233,0.16567406308744104,0.3231287840859579,209.33679743818928,30.79139148580193
2,1.4,34.632031815050375,-120.61056352383206,0.16584360715840013,0.3234439720327442,209.33685853005383,30.791406098142524
2,1.6,34.63203189496753,-120.61056429037139,0.16618269530218094,0.32407434702886606,209.33698071360817,30.791435325724994
2,1.8,34.63203179484584,-120.61056356303054,0.16655070125125349,0.32475961212856813,209.33686232853114,30.79141529110498
2,2,34.632031433872505,-120.6105637742646,0.16696060514170677,0.3255216905596195,209.33685737574902,30.791462878778216
2,2.2,34.63203181459987,-120.61056398549863,0.16742733941599727,0.3263904376500545,209.33692721878535,30.791439121396575
2,2.4,34.63203175443676,-120.61056364142755,0.16796488943789153,0.32739088996338683,209.33686992549102,30.791433725737484
2,2.6,34.63203187431247,-120.61056479123607,0.16847352165263146,0.3283364455362628,209.33705320058834,30.791477603597933
2,2.8,34.63203111240747,-120.61056483043446,0.16912378536257894,0.32954540270809346,209.3369822030174,30.791558204089096
2,3,34.63203109220302,-120.61056486963278,0.16983087945636363,0.3308610344740828,209.33698600145124,30.791567472351776
2,3.5,34.63203143252126,-120.61056515926319,0.17171180191636085,0.33436104537984584,209.33706344120372,30.79156236525026
2,4,34.63203171267626,-120.61056510482258,0.17413027439825238,0.33886150789134417,209.3370835879571,30.79155208497281
2,5,34.632031490426925,-120.61056553600311,0.18190830941963942,0.3533333847684317,209.33712537039963,30.79165619345717
2,6,34.63203158784038,-120.6105667576738,0.19385809325892478,0.3755671443136788,209.33731707824742,30.791802538562248
2,7,34.632031824877,-120.61056727595796,0.21000854371115565,0.4056176015152133,209.33741814494752,30.79194675151628
2,8,34.6320319406862,-120.61056802942531,0.23040155872423201,0.4435612018632739,209.3375420007288,30.792163145419966
2,9,34.632031975226894,-120.61056940133622,0.2552066823709756,0.4897126088595379,209.3377497349109,30.79247525257476
2,10,34.63203100677754,-120.61056989782816,0.28439600206632165,0.5440192166181069,209.33772598889257,30.792915708889513
2,11,34.632031440437686,-120.61057101275675,0.3181110911630094,0.6067466093991838,209.33793571172987,30.793332894975578
2,12,34.63203091107226,-120.6105716355322,0.3563799203811213,0.6779426283809297,209.3379750457531,30.793921241109317
2,13,34.63203134292136,-120.61057232144711,0.39924533474352214,0.757689532518019,209.33812071427863,30.794536999708843
2,14,34.63203133254207,-120.61057383700391,0.44693276163749396,0.8464007312571403,209.33834530139578,30.79537333391829
2,15,34.63203140162047,-120.61057430512886,0.49935840515699237,0.9439228257594776,209.33842196128057,30.796316502478895
2,16,34.63202686003606,-120.61057188800707,0.5567477508271114,1.0506605794688577,209.33760410898813,30.797766905118277
2,17,34.632021255445274,-120.61056825152033,0.6190588426301256,1.1665399079891603,209.33649754593225,30.799482576352162
2,18,34.632013706183734,-120.61056228519341,0.6864333121431991,1.2918187255609035,209.3348480629735,30.801532440196148
2,19,34.632001847368834,-120.61055287860856,0.7588991303797812,1.4265350978826785,209.33225194843348,30.804129584643768
2,20,34.63198549915566,-120.610538538186,0.836485215635039,1.5707368012846097,209.32846884403872,30.807261288755353
2,21,34.63196207597955,-120.61051947535728,0.9194309816844761,1.7248438430500344,209.32326982525728,30.811233607431596
2,22,34.63193091737139,-120.6104932582315,1.0076666196761652,1.8887144207146143,209.316226717284,30.816042439200835
2,23,34.63189096206407,-120.61045728308491,1.1013626817027107,2.0626501141201152,209.3068456004816,30.821726021952173
2,24,34.63184020576333,-120.61041342730913,1.2004893066734075,2.2465547598174656,209.29520510350193,30.828611045960912
2,25,34.631778329038625,-120.61035908740426,1.305273879676126,2.4408313466380998,209.28088688468532,30.8366747974355
2,26,34.63170292791138,-120.61029277049569,1.4155748356692492,2.645174218356162,209.2634287164136,30.84613449279638
2,27,34.63161268088329,-120.61021281190656,1.5316046328013764,2.8599375923520944,209.2424526001055,30.85711458938788
2,28,34.63150640666797,-120.61011865751748,1.6533772700550036,3.0850976610285348,209.2177609168753,30.86977102328775
2,29,34.631383926443604,-120.61000881501585,1.7809216817319393,3.3206668360146727,209.18911792106033,30.884125458945203
2,30,34.63124143390303,-120.60988255867778,1.914321746670641,3.566710330980225,209.15603952621393,30.900592396041976
2,30.5,34.63116332750144,-120.60981248609475,1.983356139455922,3.6939084110225924,209.13778627895965,30.90955392913617
2,31,34.63107979288159,-120.60973784151673,2.0537908845897763,3.823581235288546,209.1183146566857,30.91908960675497
2,32,34.63089712132487,-120.60957449342523,2.1994558274466547,4.0914235672212955,209.07573810465223,30.93988545069741
2,33,34.63069201897833,-120.60939008481212,2.3511899760821833,4.36992255176688,209.02781843701888,30.96308807029348
2,34,34.63046146215821,-120.60918427418684,2.5093036108920352,4.6595228847331995,208.9742160906303,30.98909353703558
2,35,34.63020689619915,-120.60895668096894,2.67374089579843,4.960045610221256,208.91503300981864,31.017841368798933
2,36,34.62992559945073,-120.60870321144968,2.8445877133952453,5.271530445419212,208.84940588876435,31.04952766757142
2,37,34.62961723332173,-120.60842723842661,3.0218990035019817,5.593927674971159,208.7778234150134,31.08444958080125
2,38,34.62928051957807,-120.6081242858188,3.20570478343498,5.927176266073721,208.69951466356605,31.122653295964454
2,39,34.6289128368319,-120.60779418569051,3.39607502614148,6.271214837696383,208.61422255588178,31.16451427565833
2,40,34.628514449440885,-120.60743600415142,3.5929679373977708,6.625824122999336,208.5218634931441,31.210087787079363
2,41,34.62808403939541,-120.60704808097594,3.7965960931517184,6.991213188010511,208.42209379870403,31.259585974930935
2,42,34.62761986762731,-120.60663135914182,4.0068878663750365,7.367020848925206,208.31492181590244,31.31334725962628
2,43,34.62712065750294,-120.60618136534178,4.223873356720433,7.75312118399724,208.19959869560827,31.37144844257767
2,44,34.62658515135042,-120.6056999814091,4.447579691908323,8.149300286629076,208.07633049135956,31.434242980199976
2,45,34.626011812650965,-120.6051836732458,4.678078908788041,8.55546010135629,207.9444948583714,31.5018913106852
2,46,34.625399905692674,-120.60463244770203,4.9153143839724365,8.971235289969771,207.80408036856159,31.574613805960514
2,47,34.62474777393578,-120.60404481940563,5.159201624185778,9.396188025045383,207.65477184022467,31.652654747055962
2,48,34.624053360937324,-120.60341913202642,5.4098965310538185,9.830281848670513,207.49619927868298,31.736333778363925
2,49,34.62331663314372,-120.60275501084361,5.667229830133729,10.272926275776955,207.32838175827925,31.82577784207192
2,50,34.622536856237694,-120.60205246460052,5.931144987037405,10.723693401779249,207.15133597791709,31.9212166728374
