stageNumber,time,latitudeDegs,longitudeDegs,altitudeKm,elevationDegs,azimuthDegs,rangeKm
2,0.01,34.63203086236217,-120.6106050084114,0.1651168166603893,0.139846406248464,209.32382564687396,30.78024197847311
2,0.2,34.63203183525492,-120.61056348463353,0.16513651306461544,0.1399088834214122,209.31773819209266,30.77828874414667
2,0.4,34.632031875213514,-120.61056386790327,0.16530605713743718,0.1402242911242096,209.31779931790098,30.7783028032994
2,0.6,34.632031474281504,-120.61056369586764,0.16554641695693137,0.14067156888553486,209.31773326467084,30.7783350101295
2,0.8,34.63203111330814,-120.61056390710172,0.16595632084645331,0.1414342520588694,209.31772833726424,30.778381281566475
2,1,34.63203179484584,-120.61056356303054,0.16655070125125349,0.14254138075019368,209.31774579684523,30.77830261159743
2,1.2,34.6320317746413,-120.61056360222904,0.16725779534410687,0.14385762852360925,209.3177495992211,30.7783095696886
2,1.4,34.63203105269476,-120.61056402469706,0.1680776031250134,0.1453829842528998,209.31773974436206,30.778402163578622
2,1.6,34.632031373259025,-120.61056389185997,0.16908188742026686,0.1472527969862317,209.31775227651823,30.77836984764273
2,1.8,34.632031733781744,-120.61056414229233,0.17025571578741075,0.1494380166403008,209.31782593439306,30.778351650910857
2,2,34.63203169337271,-120.61056422068914,0.1716699039740488,0.1520705042497906,209.31783353909182,30.778365753563435
2,2.2,34.632031692922226,-120.6105646823551,0.17325363623164594,0.15501838944547128,209.31790226935217,30.778394024163433
2,2.4,34.63203125158182,-120.61056458871637,0.17490818423777818,0.15809812882577312,209.31784382089322,30.778440544378707
2,2.6,34.63203159189974,-120.61056487834664,0.1767891066968441,0.1615995883884458,209.31792128096473,30.778429746970183
2,2.8,34.6320315312863,-120.61056499594146,0.17891038897819816,0.16554830039281127,209.31793268791174,30.77845137557603
2,3,34.632031470672906,-120.61056511353621,0.18103167125582695,0.16949700682417063,209.31794409484556,30.778473150372783
2,4,34.63203216925378,-120.61056568626617,0.19482047961093485,0.19516538750705667,209.31809985168437,30.77850389631089
2,5,34.632031603980174,-120.61056632214671,0.2130353819569573,0.22907170395252574,209.31813758520832,30.778692647849574
2,6,34.632030957442545,-120.61056757647513,0.2356623929385096,0.271190076511023,209.31825925594924,30.778957534636007
2,7,34.632031532986055,-120.61056795538474,0.26284409112017604,0.32178829455712477,209.318373733168,30.779116323430376
2,8,34.63203162633351,-120.61056878070372,0.2946782577522099,0.3810450846763007,209.31850609386132,30.779406111234625
2,9,34.632031237491944,-120.61057005242355,0.3311648928374052,0.448959465395405,209.31865633656338,30.779841330099053
2,10,34.6320313689905,-120.61057083198925,0.37231892881169915,0.5255609150292018,209.31878572732933,30.78029961347
2,11,34.632029915675666,-120.61057226917161,0.4184785067504272,0.6114723026974157,209.31885328831532,30.781059270656176
2,12,34.632029022668135,-120.61057359745048,0.46947502965573223,0.7063830690567678,209.31896111980757,30.781898389296423
2,13,34.63202654489251,-120.6105755833211,0.5254770945422351,0.8105984962558008,209.31900712159918,30.783085712352825
2,14,34.632023044021594,-120.61057673297955,0.5865704495916143,0.9242781064985973,209.3188254021475,30.784528846094062
2,15,34.632017697642276,-120.61057947871646,0.6527112446427346,1.0473288426696992,209.31869537356005,30.78644566925432
2,16,34.63201154824506,-120.61058326521825,0.7240839562267065,1.18009212788229,209.3186394210445,30.788747062261024
2,17,34.63200179007971,-120.61058642668964,0.8007873709620908,1.3227366225025627,209.3181265490012,30.79166884357592
2,18,34.6319905273949,-120.6105910121,0.8828354161623866,1.475282404978341,209.31767413757134,30.795139145453543
2,19,34.631975836228115,-120.61059646614662,0.9701852471102029,1.6376302816072452,209.31700554134912,30.799360576016554
2,20,34.63195805748158,-120.61060261676623,1.0631340542631225,1.810320279808199,209.31612955419885,30.804347330241384
2,21,34.63193570816653,-120.61060946391109,1.1615681774616242,1.9931148023126033,209.31489678108983,30.8102891120907
2,22,34.63190975008788,-120.61061888435249,1.265685073875822,2.1863593159542245,209.31368375342976,30.81723692550329
2,23,34.63187908192456,-120.61062789074583,1.3754857494356112,2.390034406141641,209.31193475789007,30.825220815564364
2,24,34.63184292161294,-120.61063929821943,1.4910958993528038,2.6043283590299233,209.3099903858974,30.83450840912548
2,25,34.63180183108934,-120.61065161306813,1.6126012726537884,2.829377633410016,209.30768507299754,30.845047442208184
2,26,34.63175524922247,-120.61066632871021,1.739916122871451,3.0649747990367318,209.3051848797882,30.857022811835655
2,27,34.631701854164945,-120.6106817794853,1.8732528994511812,3.311466087888871,209.30210913153925,30.870571208168574
2,28,34.63164138572229,-120.61069890359629,2.012653502861038,3.5688724906295275,209.29857177875334,30.885838806898576
2,29,34.63157476598289,-120.61071919428394,2.1581458477638664,3.8371930558876106,209.29488826577415,30.902885206784735
2,30,34.63149993189752,-120.61074098590697,2.3098855553818867,4.116639292846039,209.29060380398175,30.921930548235192
2,31,34.63141806643485,-120.6107648333883,2.467858642796986,4.40712889581699,209.2859206373548,30.942973291011135
2,32,34.63132728676952,-120.61079056451611,2.6321918151127175,4.708795977860029,209.28062473167495,30.966290340524335
2,33,34.63122803456112,-120.61081873412861,2.802814260976389,5.0214281776565,209.27484396411168,30.991954589788367
2,34,34.631119168683426,-120.61084916995989,2.9799095169370995,5.345254625748076,209.26843927800357,31.020185050759256
2,35,34.63100117090595,-120.61088280982932,3.163576317110099,5.680354968047277,209.26159962297686,31.051092143112545
2,36,34.63087141767721,-120.61091948136968,3.3538845426607877,6.026698438896079,209.2540377416342,31.085038514467133
2,37,34.63073061180266,-120.61095880111557,3.550721487244591,6.383969020649781,209.24576904093703,31.122040629142276
2,38,34.63057805341675,-120.61100115170899,3.754199876204133,6.752221572201358,209.23678226715901,31.1623112333989
2,39,34.63041260221807,-120.61104636074329,3.964503253374249,7.131621479675022,209.22694015154735,31.2060952031993
2,40,34.63023443992455,-120.61109592066586,4.181602714280598,7.521943268312498,209.21648479385334,31.25356311352935
2,41,34.63004020291575,-120.61114965888235,4.405511324070394,7.922957640613003,209.20505768280404,31.30515987299096
2,42,34.62983163656385,-120.61120663683408,4.636300856387243,8.334656733261797,209.19269777163134,31.36081672148598
2,43,34.629605557747446,-120.61126817473927,4.8739554660068825,8.756710675418185,209.17928740167213,31.421028477278536
2,44,34.62936200914869,-120.61133465475523,5.118644721312449,9.189197374778313,209.16489227164521,31.485969790701837
2,45,34.62910051308627,-120.61140513824007,5.3702699217172345,9.631701637184916,209.1493315467498,31.555768397694052
2,46,34.62881981021548,-120.61148149986342,5.628858071250841,10.083958203439051,209.13276313528178,31.630770995907916
2,47,34.628518281821194,-120.61156262894889,5.894494013737887,10.545815053608386,209.11486950065523,31.71123955898927
2,47.5,34.62835933602689,-120.61160532772934,6.029860935832374,10.780070935363373,209.105442491346,31.75360111465595
2,48,34.62819533028417,-120.61164963407326,6.1669225010303785,11.016498651095569,209.09576294558306,31.797373249601147
2,49,34.62785121995053,-120.611741576478,6.446101673888974,11.495665659496886,209.0753398201138,31.889234605238222
2,50,34.62748501286019,-120.61183973644812,6.731479104459286,11.981992088392838,209.05370522572406,31.986989116179686
2,51,34.62709449019866,-120.6119441127052,7.02288437235076,12.474795564724548,209.03065077319192,32.09093175871698
2,52,34.6266810180716,-120.61205355559301,7.31992254755646,12.973151979464356,209.00615334647603,32.2009095922569
2,53,34.62624377914985,-120.61217049339434,7.622549851597287,13.47660590478024,208.98050067854197,32.3171997092565
2,54,34.625779935346486,-120.61229287793714,7.930695620601066,13.984644273610206,208.95312820058786,32.44006617394091
2,55,34.62528897072857,-120.61242258249894,8.244443736311979,14.49702726313804,208.92427501844182,32.56975626943272
2,56,34.624769709566124,-120.61255905084482,8.563808280520142,15.01340300536191,208.89376166756415,32.70645681735863
2,56.5,34.624499479418006,-120.612630715171,8.725727146375924,15.273183153287425,208.87801932229206,32.77753716324965
2,57,34.62422093589425,-120.61270453836322,8.888985876851715,15.533656630833587,208.86181675119255,32.8505250224645
2,58,34.623640895058195,-120.61285682494584,9.220259909703396,16.057866106344775,208.82796642203732,33.002205057091054
2,59,34.623026791346916,-120.6130174391931,9.55808139739465,16.58623346921077,208.79218596445173,33.16205210564458
2,60,34.622378011820324,-120.61318752663126,9.902902284425684,17.11903658627832,208.75460726032293,33.33041202354271
2,61,34.621691322308926,-120.61336806050795,10.255244447288103,17.656506660140188,208.7150878330548,33.50790002374652
2,62,34.62096471098273,-120.61355775734953,10.615433244273067,18.198626093348707,208.673280395822,33.69487387178062
2,63,34.620196086190866,-120.61375776184941,10.983807045321912,18.745307631824474,208.62918553246922,33.891810927379254
2,64,34.61938409774351,-120.61396921822775,11.360761056651361,19.296561122795794,208.5828769806824,34.09914459658401
2,65,34.61852635527616,-120.61419382447183,11.746506058924831,19.852002256736398,208.5344124005638,34.317371497991864
2,66,34.61762181120593,-120.61442897718261,12.141212858102284,20.41134433439895,208.48336341503085,34.5466745047663
2,67,34.616667776502624,-120.61467692812346,12.54496465219278,20.97393540266469,208.42984844174987,34.787554800906975
2,68,34.615662864424095,-120.61493843756735,12.957987205121666,21.53943882375365,208.37389770189228,35.04038016906376
2,69,34.614605909061225,-120.61521294666363,13.380294850711712,22.107232095292723,208.31537807705044,35.305365658401364
2,70,34.61349404485611,-120.6155012151121,13.811999798872508,22.676700663516165,208.25419241296825,35.58296431071321
2,71,34.612325888043856,-120.61580400213589,14.253327907338738,23.247477259273833,208.190384816835,35.87353444703297
2,72,34.611099275290904,-120.6161216842996,14.704278721129523,23.81881712603229,208.12387886284364,36.177396563019116
2,73,34.60981282497924,-120.61645501992817,15.165078170684167,24.39034298151051,208.05472781923675,36.49490025279874
2,74,34.608463676376154,-120.61680476680488,15.635838630138897,24.96141423114006,207.98285669128427,36.82647716497483
2,75,34.60704992990028,-120.61717036422611,16.116517858723178,25.53127482271389,207.90809996319555,37.172347868292626
2,76,34.60556920751935,-120.61755350502926,16.607327045897954,26.09943601093298,207.83056953806897,37.532962856533715
2,77,34.60401909214913,-120.61795549914196,17.10830789313838,26.66518516770957,207.7503255904574,37.90867980853552
2,78,34.602397809438386,-120.61837374139135,17.619574853566476,27.228077905917534,207.66695288247072,38.29967447144716
2,79,34.60070216521401,-120.618812347721,18.141295512751675,27.7874564725849,207.58084414448166,38.70652030098771
2,80,34.598931266685526,-120.6192698195592,18.673442771231755,28.342741514417003,207.49182653587366,39.12927777137966
2,81,34.59708156432662,-120.61974729271932,19.21624217799306,28.893440517364645,207.39986726855867,39.568448937293184
2,82,34.595151607720005,-120.62024475704776,19.769581066895277,29.438824750999423,207.30496428527346,40.024139719946795
2,83,34.59313876985578,-120.62076483549191,20.33371301075723,29.97849066179534,207.20737610036466,40.496823079660174
2,84,34.5910399856911,-120.62130640943795,20.908610401497224,30.511784756384902,207.10683036617084,40.98672535457069
2,85,34.588853151764724,-120.6218702300747,21.49444312636275,31.038331102556548,207.00339419608696,41.49414920542599
2,86,34.586576605301275,-120.62245760105522,22.09131031164527,31.557704331180194,206.89724836026556,42.01933701108568
2,87,34.58420702710676,-120.62306833707743,22.69922655259166,32.06933452701438,206.7882503026891,42.56256593538306
2,88,34.581742278347754,-120.62370280560962,23.318192466121168,32.57273581419117,206.67643443512415,43.124015594442255
2,89,34.579179743864394,-120.6243636234446,23.948462196474896,33.06763410061088,206.56209460888684,43.70411231850408
2,90,34.5765166301618,-120.62504873420737,24.589966786547564,33.55354779791787,206.44491386609369,44.30295384451459
2,91,34.57374824628385,-120.62576185861062,25.242591919510627,34.02968187551905,206.325182622652,44.920955547627045
2,92,34.570873063737885,-120.62650225407486,25.906593895765955,34.49602866362529,206.20286845030034,45.558315602496194
2,93,34.56788721649288,-120.62727121731356,26.581902398368346,34.95203725183541,206.07802941726453,46.21530499641965
2,94,34.56478592320296,-120.62806855719478,27.26841945233755,35.39714975521506,205.95048127619492,46.89219235943935
2,95,34.56156654219513,-120.62889650184088,27.966230514491908,35.83111430632302,205.82050899461373,47.589247238955316
2,96,34.55822373740288,-120.6297563439526,28.675152346163056,36.25328881361788,205.6880926914825,48.306761132359505
2,97,34.554753475322016,-120.63064788889538,29.395144288776443,36.6633506137022,205.55313710427015,49.04494456140036
2,98,34.55115356050227,-120.63157391259156,30.126221509129742,37.06111299854492,205.4160438288501,49.80398123465645
2,99,34.547417310467935,-120.63253366526573,30.868244487899357,37.446067976123686,205.27648638322472,50.58420345453737
2,100,34.54354161837012,-120.63352843422722,31.621201042632574,37.81805916781133,205.1346432021086,51.38579057558778
2,101,34.53952307887012,-120.63456005739873,32.384951635243375,38.17681887117635,204.99074053151477,52.208879296193494
2,102,34.53535641655373,-120.63563019864748,33.159484014509246,38.52210585121236,204.84486557058943,53.05382169836447
2,103,34.531038312952404,-120.63673827503641,33.94464610144589,38.85378982383284,204.6969818958319,53.92065540646107
2,104,34.526563894306065,-120.63788611938782,34.74018579181377,39.17152988658277,204.5472406583769,54.80954588130406
2,105,34.521928935480986,-120.63907483827043,35.54627598204184,39.47543111398025,204.39575713000656,55.720850828319016
2,106,34.517128828511616,-120.64030532849118,36.362623228223995,39.76523279451953,204.24260623830418,56.65465426859485
2,107,34.512159749675654,-120.64157886496916,37.18916063884832,40.04093367217181,204.0879582244323,57.61113195928336
2,108,34.50701783555804,-120.64289634095884,38.02565210327413,40.302440639567685,203.93194164760683,58.59034207456758
2,109,34.50169783486821,-120.64425940702093,38.87208766966034,40.549753866009304,203.7746907900719,59.59261816770108
2,110,34.49619497457902,-120.64566746983563,39.7282042385079,40.782799691005486,203.61613454336822,60.61802924949514
2,111,34.49051083352116,-120.6471236584208,40.59447344234865,41.002365083224234,203.4569485536708,61.66674320742678
2,112,34.484637255251414,-120.6486268243705,41.47047725055087,41.208096208144134,203.29681577341444,62.73898121543358
2,113,34.4785733890657,-120.65017823089578,42.356377442937344,41.400470347800166,203.13607538826278,63.83485325713011
2,114,34.47231603870233,-120.65177803643438,43.252364716267216,41.57986113240781,202.97482118863323,64.95464623393946
2,115,34.46586331964712,-120.65342805105166,44.158417377559466,41.746547829004385,202.81337659341904,66.0984556056226
2,116,34.45921425706548,-120.65512842891393,45.074896617895924,41.90114625681856,202.65193370071913,67.2665251929898
2,117,34.452364448114125,-120.6568783929569,46.00183901420329,42.043871840673646,202.49042165121503,68.45912699596704
2,118,34.445313974330894,-120.65868067608348,46.939435713781975,42.17522871824811,202.3293220348872,69.67639184515974
2,119,34.43805848515709,-120.66053487537732,47.88789365142398,42.29552928550228,202.16859239261615,70.91872409121002
2,120,34.43059649732981,-120.66243983016014,48.847307319588026,42.40519181071624,202.0082555982193,72.18622076263199
2,121,34.422924938695196,-120.66439957230702,49.817854416632095,42.50449152298464,201.84873569015343,73.4792940883467
2,122,34.41504220186056,-120.66641183547577,50.799828673138286,42.59396179674504,201.68993326984085,74.79816927397765
2,123,34.406945001528705,-120.66847878856952,51.793268007330596,42.673808961683136,201.5320752107391,76.14314285129976
2,124,34.39863135524951,-120.67060111860617,52.79835272507835,42.74441412431861,201.37530100652802,77.51447621863672
2,125,34.39009767872435,-120.6727784098238,53.81534903138783,42.80613042282228,201.21958336942626,78.91258952611328
2,126,34.38134169590493,-120.6750118946527,54.8443107214151,42.85923139985205,201.06508737511336,80.33770345792209
2,127,34.372361227284756,-120.67730355651608,55.88563118185755,42.90415430766184,200.91203317023601,81.79028574557698
2,127.5,34.36778561636277,-120.67847002871352,56.41093399550486,42.92362613248464,200.83594492811778,82.52694220002373
2,128,34.363152178338204,-120.67965166769895,56.93931004275475,42.94108740460546,200.76025308322008,83.27059542804061
2,129,34.353715367017266,-120.68205855169548,58.005429936379194,42.97043768663071,200.61009283534776,84.77867516295382
2,130,34.34404787792801,-120.68452302697993,59.08397687924001,42.99242642725831,200.4614635844965,86.31470587087699
2,131,34.33415130637142,-120.6870446338707,60.174907852611504,43.00746043872129,200.31449216563078,87.87852562445056
2,132,34.32402500318436,-120.68962568840077,61.278193720532585,43.01579521254656,200.16942776929343,89.47022071220542
2,133,34.313668659623595,-120.69226517742386,62.393750313473866,43.01771771896927,200.02626107760295,91.08973867183657
2,134,34.30308123186658,-120.69496208745538,63.52143745215517,43.01344823817835,199.88495560329596,92.73704819783657
2,135,34.292263809282545,-120.697717802859,64.66129770559539,43.003345272100006,199.7457140357711,94.4121379683587
2,135.2,34.29007219110331,-120.69827630888035,64.89080095204898,43.00065444069935,199.7181236989917,94.75058697131955
2,135.4,34.2878738520628,-120.69883569961684,65.12055627348461,42.99776917318332,199.6905890913627,95.08976309433025
2,135.6,34.28566940092311,-120.6993979968407,65.35046385235526,42.994648417005585,199.66327428072444,95.42959675500117
2,135.8,34.28346103429586,-120.69996005129295,65.58034032139928,42.99135096683068,199.6360195529493,95.76972233080456
2,136,34.281249665361,-120.70052333604667,65.81021319567506,42.987911271270505,199.60895748484893,96.11012193687037
2,136.2,34.27903598306651,-120.70108747537789,66.0399692811165,42.98431658103614,199.58208057111983,96.45065634750742
2,136.4,34.276819938875114,-120.70165209371335,66.26943905145954,42.98049839489918,199.55535911990242,96.79120421422981
2,136.6,34.274603007193946,-120.70221719099146,66.4987351715751,42.97657053502741,199.52883589537248,97.13172979452517
2,136.8,34.27238470720956,-120.70278184311437,66.72775914924313,42.972483228878865,199.50242962867392,97.47218148994993
2,137,34.27016521421703,-120.70334752287037,66.95648214235158,42.96821496318555,199.47624768514783,97.81255895669815
2,137.2,34.26794508981768,-120.70391275754855,67.1849893359216,42.963845926417505,199.4502015540077,98.15284460420553
2,137.4,34.265725629357334,-120.70447919319203,67.41306756449957,42.959321571740794,199.42444251579795,98.49282903997153
2,137.6,34.26350479972796,-120.70504518386115,67.64087370144483,42.95464420800651,199.39879394518027,98.8327394856275
2,137.8,34.2612844578957,-120.70561090313682,67.86827973752376,42.949837594118826,199.37332081326932,99.17234906662772
2,138,34.25906460339435,-120.70617635118356,68.09528566685971,42.944903066233444,199.34802124490926,99.51165774066095
2,138.2,34.25684472301307,-120.70674337536613,68.32197589534987,42.93983330844233,199.32300559411084,99.85080395066826
2,138.4,34.25462441666482,-120.707308656346,68.5482385829715,42.934606786455674,199.2980321427062,100.18966777869366
2,138.6,34.252404771631866,-120.70787513848266,68.77407230204157,42.92923414226425,199.27333251593342,100.52822991088254
2,138.8,34.25018566146496,-120.70844172474662,68.99967546479776,42.92380671006767,199.24882563680853,100.8666119789955
2,139,34.2479662993453,-120.70900804028024,69.22482222774438,42.91820425669933,199.22446183537093,101.20471095287515
2,139.2,34.24463716836541,-120.70943911862776,69.56191188324429,42.91452369283783,199.1599713975386,101.70223812037754
2,139.4,34.24241854731093,-120.71000543252448,69.78613577165176,42.90860563517418,199.13613297264507,102.03969861709211
2,139.6,34.24020015369798,-120.71057239927495,70.0100017479565,42.90256668703838,199.1125068029791,102.3769268427737
2,139.8,34.23798107488806,-120.71113854745289,70.23348240426742,42.89637705481058,199.08896710307002,102.71394188450083
2,140,34.235763216072534,-120.71170442559735,70.45661919071618,42.890125737230456,199.06560205784504,103.05063742651686
2,141,34.22467386519332,-120.71453643138855,71.56661299687345,42.85694647088488,198.95127608219204,104.73051644469777
2,142,34.21358834506242,-120.71737003461091,72.66724033168518,42.82090647232021,198.840893708633,106.40411095406994
2,143,34.20250686060395,-120.72020432437115,73.75845884836652,42.782141705987115,198.73421374968888,108.07135224647597
2,144,34.19142893018838,-120.72303876495874,74.84033953204286,42.74079123820447,198.63101601920928,109.73231237976984
2,145,34.180354247594174,-120.72587429033044,75.91292455292772,42.69696500024992,198.53118919702928,111.38706312190247
2,146,34.16928418526689,-120.7287105384267,76.97615660827887,42.65080418367865,198.4345907137186,113.03545097681352
2,147,34.15821795520017,-120.73154752133803,78.02997938727215,42.60235855011829,198.34105701583837,114.67749992558907
2,147.2,34.15600498007604,-120.73211504601562,78.2396596042104,42.5924126798245,198.32270387137714,115.00519542204492
2,147.4,34.15379247211319,-120.73268230499244,78.44893959522341,42.58238556566459,198.30445659850267,115.3325904687149
2,147.6,34.151578753282706,-120.73325059246942,78.65791893228796,42.572240382788,198.2863519354039,115.65991125468085
2,147.8,34.14936507120549,-120.73381806699042,78.86656918304972,42.56203102835553,198.26830855225953,115.98700224236319
2,148,34.147150177754575,-120.73438656999727,79.07491880447604,42.55170528517896,198.25040586349851,116.3140191190815
2,148.2,34.144934380058466,-120.73495555402393,79.28309508187324,42.54132614085644,198.23261753999205,116.64101345881005
2,148.4,34.14271788143523,-120.73552372535562,79.49088616713323,42.53083820379112,198.21487119846074,116.96779728062253
2,148.6,34.14050065232696,-120.73609384550849,79.69847509279009,42.52027972726483,198.19732790537827,117.29455639756327
2,148.8,34.138281300029846,-120.7366635261682,79.90573617224582,42.5095802706655,198.17981431388822,117.62126309270771
2,149,34.13606129820733,-120.73723276745517,80.11278166520688,42.49883301433954,198.1623639090878,117.94787932319343
2,149.2,34.13383939915572,-120.73780340999363,80.3196400794955,42.48798666332822,198.14505496763192,118.27456071677922
2,149.4,34.131617279673165,-120.7383741603687,80.52621179191117,42.47707839332521,198.127849287211,118.60108119598478
2,149.6,34.12939351801394,-120.73894539158495,80.73255415740236,42.46607536809168,198.110735535131,118.92759878603313
2,149.8,34.12716694795452,-120.73951655642668,80.93868224533368,42.45494798899302,198.09365525920688,119.25420342792181
2,150,34.12494033091819,-120.74008929631553,81.1444948420683,42.443742833431166,198.07676461071338,119.58064497695054
2,150.2,34.122712634287325,-120.74066104975977,81.35016309317574,42.432508457343104,198.05989193984587,119.90706717204527
2,150.4,34.12048230297944,-120.74123420383627,81.55558830527217,42.42113425848471,198.0431392741782,120.23357430093381
2,150.6,34.11825058422762,-120.74180691863278,81.76074196975586,42.40967193775925,198.02642832077885,120.56001099349781
2,150.8,34.11601770439112,-120.74238103383153,81.96576483322401,42.39816164586846,198.00986853400525,120.88649421814996
2,151,34.11378343687877,-120.74295470975568,82.17051618635655,42.38656444677762,197.99334929337277,121.2129072138544
2,151.2,34.11154752640022,-120.74352886618898,82.37503837171383,42.374878336112275,197.97691683247746,121.53931818987492
