stageNumber,time,latitudeDegs,longitudeDegs,altitudeKm,elevationDegs,azimuthDegs,rangeKm
2,0.01,34.63203086236217,-120.6106050084114,0.1651168166603893,0.4680743402050814,23.291475552292923,5.665225493559669
2,0.2,34.632031093554,-120.61056348463353,0.16507968268264087,0.4675578735593608,23.326732315651043,5.6667559829475636
2,0.4,34.632031093554,-120.61056348463353,0.16507968268264087,0.4675578735593608,23.326732315651043,5.6667559829475636
2,0.6,34.63203183525492,-120.61056348463353,0.16513651306461544,0.4681229062843627,23.32640268785343,5.666832204315822
2,0.8,34.63203183525492,-120.61056348463353,0.16513651306461544,0.4681229062843627,23.32640268785343,5.666832204315822
2,1,34.63203139436431,-120.61056292932822,0.1652073288122192,0.4688426731734413,23.32707136620735,5.666808318021341
2,1.2,34.632031875213514,-120.61056386790327,0.16530605713743718,0.4698377604947462,23.326058647780656,5.666824378026287
2,1.4,34.63203117347121,-120.61056425117295,0.16541877082642167,0.4709876313344105,23.32604422632204,5.666740331911605
2,1.6,34.632031474281504,-120.61056369586764,0.16554641695693137,0.4722724028646385,23.32638328423934,5.666792674188594
2,1.8,34.632031514240104,-120.61056407913733,0.16571596102882177,0.4739872747916403,23.32603924147128,5.666784860196924
2,2,34.63203111330814,-120.61056390710172,0.16595632084645331,0.47642195732758724,23.326363880322617,5.666753173784799
2,2.2,34.63203189496753,-120.61056429037139,0.16618269530218094,0.47870173834352997,23.32569021525103,5.666821604190637
2,2.4,34.63203149403559,-120.61056411833576,0.16642305512167513,0.4811364314707621,23.32601485019501,5.666789937395444
2,2.6,34.632031573952766,-120.61056488487502,0.16676214326452465,0.48456620598350636,23.32532676067723,5.666774367628059
2,2.8,34.63203191472156,-120.61056471283938,0.16705933346692473,0.4875657246240024,23.325321781096022,5.666818966232275
2,3,34.632031553748256,-120.61056492407334,0.16746923735830932,0.4917153662324064,23.325302368948144,5.666779575421969
2,4,34.63203149313473,-120.61056504166832,0.16959051963686944,0.5131627665478404,23.325229193576888,5.666795728173368
2,4.5,34.63203105179411,-120.6105649480294,0.17124506764207037,0.5298959352071406,23.325505045786542,5.666775475639
2,5,34.63203181279783,-120.61056583216264,0.17376226845011117,0.5553370542237759,23.324414163045617,5.666854196145206
2,6,34.63203167046533,-120.61056702987959,0.18187939161993563,0.6374051401762985,23.32345774477551,5.66691127955136
2,7,34.63203166775719,-120.61056752420961,0.1941971814064309,0.7619296687436284,23.323038098754694,5.667089895219487
2,8,34.63203154382272,-120.61056825372408,0.2107575357509777,0.9293330979663659,23.322472090871486,5.667357605405115
2,9,34.63203085777717,-120.61056866312009,0.23163127040117978,1.1403235300841283,23.322428396314763,5.6677285302633535
2,10,34.6320315338921,-120.6105693076974,0.25686123037617653,1.3952621865275172,23.321579181007564,5.668427280827386
2,11,34.63203168785207,-120.61057001541933,0.28657411472965033,1.6954330147857153,23.320908229842473,5.669330531993378
2,12,34.63203135962163,-120.61057116954363,0.32093946753628555,2.0424995556672623,23.320071461801945,5.670505492561996
2,13,34.63203151177396,-120.61057144825647,0.3598026771554724,2.434759923016983,23.31976656066837,5.672175314996633
2,14,34.632031662572956,-120.61057311190828,0.4034170835632831,2.8747036429739197,23.31828311130431,5.674314653096957
2,15,34.63203189282767,-120.61057372812085,0.45176970659848303,3.3619913924985814,23.317656155798772,5.677128061280988
2,16,34.63202961659786,-120.61057350813878,0.5050999590056017,3.8990045342224953,23.318854799584358,5.680482298637389
2,17,34.632026979003065,-120.61057168549246,0.5632392437905074,4.48363111193636,23.321578735385856,5.684748253964364
2,18,34.632022576676526,-120.61056902671368,0.6264129883795977,5.117940691744661,23.325799194670367,5.6899221943251765
2,19,34.63201671046683,-120.61056497657468,0.6947488389415667,5.802767523734314,23.331855808984244,5.696233133188135
2,20,34.63200863880457,-120.6105595351304,0.7681899652015418,6.537121125149219,23.340079157940693,5.703781215984765
2,21,34.63199730007983,-120.61055009823131,0.8469069167021662,7.3221271543522715,23.353160947372203,5.712767655123132
2,22,34.63198125117239,-120.61053704927548,0.9309555772412569,8.157845757195714,23.371421024121446,5.7232526948186795
2,23,34.631961714696,-120.61052132689149,1.0204915059283377,9.044856602213196,23.39352110347005,5.735577338124645
2,24,34.63193684764108,-120.6104999439242,1.1154588787518442,9.98172728258989,23.422834814217822,5.7498993979240325
2,25,34.63190524705957,-120.61047366710673,1.2160831245873123,10.9698235808036,23.459348805372144,5.766349883463169
2,26,34.63186761496361,-120.61044211354948,1.3222515313280747,12.006565070861583,23.503092825926046,5.785267347364939
2,27,34.631822930100256,-120.61040306284788,1.4343041952019557,13.09373195006188,23.556438301505295,5.80699037015348
2,28,34.63177089221015,-120.61035707070596,1.55211347306706,14.22839657605822,23.61907543674033,5.831748838152857
2,29,34.631709177171714,-120.61030341050665,1.6758768849018961,15.410949678496987,23.69271012329665,5.859706837051795
2,30,34.631638527226144,-120.61024208288146,1.8056512656193227,16.63948582225133,23.777056639417424,5.891288121907658
2,30.5,34.63159768303165,-120.61020633018857,1.8727451126035304,17.270178540183537,23.826140168819222,5.90839853944229
